Metric,Mean,Std,Min,Max
Accuracy,0.8703814262023217,0.019488719319547373,0.8444444444444444,0.8955223880597015
Precision,0.8481131413863432,0.028833185216664205,0.8187145409682633,0.8913985413985414
Recall,0.7921821121202628,0.04227210973498893,0.7288384151060208,0.8472771672771673
F1-Score,0.802341140306066,0.040370179314580944,0.7326984126984127,0.8553793840474109
