Metric,Mean,Std,Min,Max
Accuracy,0.861404090657822,0.013802239823708179,0.8432835820895522,0.8805970149253731
Precision,0.85834444640327,0.023425825214305144,0.8183766233766235,0.8858585858585858
Recall,0.7813180534056223,0.048089281159087366,0.7090504175011217,0.8382448537378113
F1-Score,0.7976828550664248,0.038278286782614426,0.7315807629264518,0.8384558629776022
