Metric,Mean,Std,Min,Max
Accuracy,0.873289110005528,0.014405430845141995,0.8582089552238806,0.8962962962962963
Precision,0.8554088258621236,0.04818324601449169,0.796093567251462,0.9232222222222222
Recall,0.7870970073903326,0.040620553136568385,0.7520579576917605,0.863758302322295
F1-Score,0.8082555601257809,0.030582352906661437,0.770062691743364,0.8583451536643025
