Fold,Accuracy,Precision,Recall,F1-Score
1,0.8962962962962963,0.8564285714285713,0.863758302322295,0.8583451536643025
2,0.8582089552238806,0.8091478696741856,0.7664711295146078,0.7858540277879521
3,0.8805970149253731,0.9232222222222222,0.7607936507936508,0.8047977733524322
4,0.8582089552238806,0.796093567251462,0.7520579576917605,0.770062691743364
5,0.8731343283582089,0.8921518987341772,0.7924039966293488,0.8222181540808542
