Fold,Accuracy,Precision,Recall,F1-Score
1,0.837037037037037,0.843170426065163,0.8302425665101723,0.8326860727924558
2,0.8656716417910447,0.8688571428571429,0.7590636411058946,0.7934944488135977
3,0.8656716417910447,0.8423030303030302,0.7615096171434199,0.7728040680780407
4,0.8507462686567164,0.7741478129713424,0.7933821733821734,0.7796435448609361
5,0.8582089552238806,0.7903151920543225,0.8000711365928757,0.7926586769502002
