Metric,Mean,Std,Min,Max
Accuracy,0.8554671088999447,0.01074929379809846,0.837037037037037,0.8656716417910447
Precision,0.8237587208502003,0.03559293519460411,0.7741478129713424,0.8688571428571429
Recall,0.7888538269469072,0.026436802764276558,0.7590636411058946,0.8302425665101723
F1-Score,0.7942573622990461,0.020754330223182918,0.7728040680780407,0.8326860727924558
